Gender,Age_range,Status,Top3_smartphone_activities,Frequent_apps,Daily_usage_duration,Smartphone_importance,Current_brand,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Monthly_income,Occupation
Female,60+,Working,"Watch movies/listen to music, Play games, Cloud apps","Instagram, YouTube, TikTok",0-1 hours,Essential,Other,Price,4,Complex payment process,Less than 15000,Freelancer
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Female,26-35,Working,"Play games, Take photos/videos, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",0-1 hours,Essential,Apple,Product features,2,Concerns about after-sales service,Less than 15000,Employee
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Female,33-40,Student,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",3-5 hours,Highly essential,Oppo,Price,4,Warranty or service concerns,15001-20000,Content creator
LGBTQ+,60+,Single,"Watch movies/listen to music, Social media",Google Maps,>5 hours,Not important,Realme 7 5G,Value for money,3,Delivery delays,Less than 15000,Business owner
LGBTQ+,56+,Student,"Watch movies/listen to music, Play games, Take photos/videos",VSCO,3-5 hours,Somewhat important,Oppo,Stability,2,Complex payment process,30001-50000,Logistics staff
Male,46-55,Working,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",>5 hours,Highly essential,Redmi,Price,3,Insufficient storage,Less than 15000,Private company employee
LGBTQ+,56+,Student,"Watch movies/listen to music, Play games","Facebook, Facebook Messenger, Spotify, TikTok",5-6 hours,Not necessary,Huawei,Design,2,Difficult to compare prices,Less than 15000,Content creator
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
Male,60+,Working,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Facebook Messenger, TikTok",1-3 hours,Not important,Apple,Stability,2,Warranty or service concerns, 50001 ,Artist
Male,26-35,Student,"Watch movies, Listen to music, Take photos",SET,3-5 hours,Somewhat important,Samsung,Brand,2,Issues with delivery, 50001 ,Office worker
LGBTQ+,26-32,Married,"Watch movies/listen to music, Play games, Social media","Instagram, YouTube, TikTok",0-1 hours,Somewhat important,Huawei,Reliability,2,Difficult return process,20001-30000,Business owner
Male,56+,Married,"Track delivery, Customer chat, Email","Instagram, Facebook, YouTube, Facebook Messenger",0-1 hours,Essential,Apple,Product reviews,3,Payment security concerns,Less than 15000,Housewife
Male,26-32,Working,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X",3-5 hours,Essential,Xiaomi,Product reviews,5,Difficult return process,Less than 15000,Investor
Female,26-32,Working,"Watch movies/listen to music, Take photos/videos, Communication/meetings","YouTube, TikTok",5-6 hours,Highly essential,Huawei,Durability,3,Limited warranty coverage,20001-30000,Employee
LGBTQ+,36-45,Married,"Watch movies/listen to music, Play games, Social media",Shopee,>5 hours,Not necessary,Vivo,Performance,4,Payment security concerns,15001-20000,Artist
Male,26-32,Married,"Play games, Take photos/videos, Social media","Instagram, YouTube, Spotify, TikTok",1-3 hours,Not necessary,Realme,Camera,5,Payment security concerns,15001-20000,Student
LGBTQ+,18-25,Working,Play games,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify",0-1 hours,Somewhat important,Xiaomi,Sensor quality,5,Payment issues,15001-20000,Retired
Female,18-25,Student,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",5-6 hours,Highly essential,Huawei,Sensor quality,2,Concerns about warranty,Less than 15000,Factory worker
LGBTQ+,36-45,Married,"Watch movies/listen to music, Take photos/videos, Social media","YouTube, TikTok",0-1 hours,Not important,Redmi,Brand,5,Device overheats,Less than 15000,Investor
Male,56+,Working,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",3-5 hours,Highly essential,Realme,Design,2,Difficult return process,20001-30000,Office worker
LGBTQ+,56+,Single,"Product photography, Edit reviews, Online marketplace","Instagram, TikTok",>5 hours,Essential,Samsung,Stability,2,Delivery delays,Less than 15000,Artist
Female,18-25,Student,"/, Email, Finance",WhatsApp,1-3 hours,Somewhat important,Xiaomi,Simplicity,1,Product is too expensive,25001-35000,Private company employee
Male,26-32,Single,"Product photography, Edit reviews, Online marketplace","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",5-6 hours,Not necessary,Other,Ecosystem,4,Delivery delays,Less than 15000,Retired
Male,60+,Married,"Watch movies, Take photos, Listen to music",SET,0-1 hours,Highly essential,Other,Product reviews,3,Delivery delays,15001-20000,Artist
Female,26-35,Married,"Communication, Take photos, Social media","Facebook, TikTok, Line",0-1 hours,Not important,Huawei,Ecosystem,4,Insufficient storage,Less than 15000,Retired
Female,36-45,Working,"Watch movies/listen to music, Play games, Communication/meetings","YouTube, TikTok",1-3 hours,Essential,Vivo,Value for money,1,Uncertainty about after-sales service,Less than 15000,Artist
Female,33-40,Single,"Watch movies, Take photos, Listen to music","YouTube, Facebook Messenger, Discord, Wise",>5 hours,Essential,Realme 7 5G,Brand,3,Uncertainty about after-sales service,Less than 15000,Employee
Female,33-40,Working,"Watch movies/listen to music, Play games, Take photos/videos","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",0-1 hours,Essential,Oppo,Reliability,4,Payment security concerns,Less than 15000,Logistics staff
Male,18-25,Married,"Play games, Take photos, Watch movies","YouTube, TikTok",3-5 hours,Not important,Apple,Performance,3,Product quality doesn't match ads,Less than 15000,Private company employee
Female,33-40,Married,"Play games, Take photos/videos","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",3-5 hours,Not necessary,Oppo,Stability,4,Payment issues,50001-100000,Manager
LGBTQ+,18-25,Single,"Play games, Take photos/videos","Instagram, YouTube, Spotify, Telegram",5-6 hours,Somewhat important,Xiaomi,Value for money,3,Payment security concerns,Less than 15000,Housewife
Male,26-35,Student,"Play games, Streaming, Take photos/videos",SET,>5 hours,Essential,Realme 7 5G,Sensor quality,1,Complex payment process,Less than 15000,Business owner
LGBTQ+,36-45,Student,"Watch movies/listen to music, Take photos/videos",Microsoft Teams,0-1 hours,Not important,Infinix,Product reviews,3,Insufficient storage,Less than 15000,Freelancer
Male,46-55,Single,"Take photos/videos, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok",5-6 hours,Somewhat important,Infinix,Performance,1,Limited warranty coverage,Less than 15000,Private company employee
Female,60+,Student,"Watch movies/listen to music, Play games, Communication/meetings","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",5-6 hours,Highly essential,Realme,Sensor quality,2,Warranty or service concerns,Less than 15000,Delivery staff
Female,33-40,Single,"Play games, Take photos/videos, Cloud apps","Facebook, YouTube, Facebook Messenger",5-6 hours,Somewhat important,Huawei,Battery,5,Payment issues,20001-30000,Content creator
Female,26-32,Married,"Take photos/videos, Communication/meetings, Social media",SET,1-3 hours,Not necessary,Huawei,Camera,2,Insufficient storage,20001-30000,Manager
LGBTQ+,26-32,Single,"Communication, Take photos, Social media",Google Maps,1-3 hours,Essential,Realme 7 5G,Simplicity,1,Blurry camera,Less than 15000,Civil servant
Female,26-32,Working,"Watch movies/listen to music, Play games, Social media","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",5-6 hours,Essential,Oppo,Product reviews,2,Uncertainty about after-sales service,Less than 15000,Investor
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Male,46-55,Single,"Play games, Streaming, Social media","Instagram, YouTube, Spotify, TikTok",0-1 hours,Highly essential,Huawei,Brand,4,Payment issues,20001-30000,Housewife
Male,33-40,Married,"Watch movies/listen to music, Play games, Cloud apps","Facebook, Facebook Messenger, Spotify, TikTok",1-3 hours,Not important,Realme 7 5G,Brand,1,Insufficient storage,Less than 15000,Investor
Female,36-45,Working,"Streaming, Take photos/videos, Edit video",WhatsApp,1-3 hours,Essential,Realme,Performance,1,Device overheats,Less than 15000,Housewife
LGBTQ+,56+,Single,"Play games, Take photos/videos, Cloud apps",Gmail,5-6 hours,Essential,Realme 7 5G,Reliability,4,Concerns about payment security,Less than 15000,Housewife
Male,26-35,Single,"Art photography, Video editing, Upload stories",TikTok,5-6 hours,Highly essential,Samsung,Brand,4,Concerns about safety,Less than 15000,Logistics staff
Female,46-55,Working,"Play games, Take photos/videos, Social media","Facebook, YouTube, Facebook Messenger, TikTok",>5 hours,Not necessary,Vivo,Battery,1,Uncertainty about warranty,Less than 15000,Factory worker
Male,56+,Student,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X",0-1 hours,Not necessary,Redmi,Product features,4,Concerns about payment security,Less than 15000,Freelancer
Female,33-40,Working,"Take photos/videos, Communication/meetings, Social media","Facebook, YouTube",0-1 hours,Not important,Samsung,Reliability,5,Insufficient storage,50001-100000,Online seller
LGBTQ+,33-40,Student,"Chat with family, Read e-books, Listen to radio","Instagram, YouTube, Facebook Messenger, TikTok",1-3 hours,Essential,Other,Features,4,Product quality doesn't match ads,Less than 15000,Private company employee
Female,36-45,Single,"Play games, Take photos/videos, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Essential,Xiaomi,Camera,5,Payment issues,Less than 15000,Factory worker
Female,46-55,Single,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Essential,Infinix,Price,2,Issues with delivery,Less than 15000,Delivery staff
LGBTQ+,46-55,Single,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",3-5 hours,Somewhat important,Apple,Durability,4,Limited warranty coverage,50001-100000,Retired
Male,18-25,Student,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",5-6 hours,Not necessary,Other,Price,5,Unable to inspect product,15001-20000,Online seller
Female,46-55,Single,"Communication, Take photos, Social media","Instagram, Facebook, YouTube",1-3 hours,Not necessary,Apple,Product features,2,System crashes frequently,20001-30000,Student
LGBTQ+,60+,Married,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",1-3 hours,Somewhat important,Samsung,Performance,1,After-sales service issues,Less than 15000,Factory worker
Male,26-35,Single,"Read news, Check stocks, Finance",Gmail,1-3 hours,Not important,Samsung,Camera,5,Complex payment process,30001-50000,Online seller
Male,26-35,Student,"Play games, Streaming, Take photos/videos",SET,>5 hours,Essential,Realme 7 5G,Sensor quality,1,Complex payment process,Less than 15000,Business owner
Male,26-32,Working,"Play games, Streaming, Social media",Facebook Messenger,>5 hours,Somewhat important,Realme,Battery,1,Unable to inspect product,15001-20000,Online seller
LGBTQ+,18-25,Working,"Read news, Check stocks, Finance","Facebook, Facebook Messenger, Spotify",>5 hours,Essential,Vivo,Performance,4,Device overheats,20001-30000,Business owner
Male,36-45,Working,"Watch movies/listen to music, Take photos/videos","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",0-1 hours,Essential,Realme,Product features,4,Concerns about warranty,Less than 15000,Artist
Female,26-35,Student,"Watch movies/listen to music, Take photos/videos, Social media",Google Maps,3-5 hours,Highly essential,Vivo,Ecosystem,4,No problems,20001-30000,Manager
Female,46-55,Married,Watch movies/listen to music,Facebook,3-5 hours,Somewhat important,Apple,Value for money,2,Limited warranty coverage, 50001 ,Office worker
Female,26-32,Single,"Watch movies/listen to music, Play games, Take photos","Instagram, YouTube, TikTok",1-3 hours,Somewhat important,Calculator,Value for money,1,Warranty or service concerns,15001-20000,Logistics staff
Female,26-35,Student,"Online meetings, Schedule management, Email","Instagram, Facebook, YouTube, Spotify, TikTok",>5 hours,Highly essential,Realme 7 5G,Sensor quality,2,Difficult to compare prices,Less than 15000,Manager
Male,33-40,Single,"Watch movies/listen to music, Play games, Cloud apps",CapCut,3-5 hours,Somewhat important,Oppo,Brand,4,Concerns about warranty,15001-20000,Investor
LGBTQ+,60+,Single,"Play games, Take photos, Watch movies",Discord,5-6 hours,Not necessary,Realme 7 5G,Durability,2,Blurry camera,Less than 15000,Freelancer
LGBTQ+,36-45,Working,"Watch movies/listen to music, Social media",Facebook Messenger,0-1 hours,Not important,Oppo,Product features,3,After-sales service issues,15001-20000,Manager
Female,33-40,Student,"Watch movies/listen to music, Communication/meetings, Social media",SET,5-6 hours,Highly essential,Infinix,Value for money,2,Unable to inspect product,Less than 15000,Artist
Male,26-32,Married,"Streaming, Take photos/videos, Edit video",SET,1-3 hours,Highly essential,Calculator,Features,1,Unable to inspect product,15001-20000,Artist
Female,60+,Working,"Online shopping, Track delivery, Customer chat","Facebook, Facebook Messenger, Spotify, TikTok",3-5 hours,Not necessary,Huawei,Product features,5,Delivery delays,20001-30000,Employee
LGBTQ+,33-40,Single,"Play esports, Stream games, Community chat","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",3-5 hours,Somewhat important,Infinix,Ecosystem,1,Limited warranty coverage,Less than 15000,Artist
LGBTQ+,56+,Single,"Email, , Finance","YouTube, TikTok",0-1 hours,Somewhat important,Infinix,Product features,2,Issues with delivery,Less than 15000,Manager
Male,18-25,Student,"TikTok, Livestream, Search information","Instagram, Facebook, Facebook Messenger, TikTok, LINE",3-5 hours,Somewhat important,Vivo,Product features,5,Complex payment process,20001-30000,Employee
LGBTQ+,26-32,Student,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Instagram, Facebook, Facebook Messenger, Spotify, TikTok",0-1 hours,Somewhat important,Infinix,Brand,3,Difficult return process,Less than 15000,Logistics staff
Male,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps",Facebook,0-1 hours,Not necessary,Infinix,Battery,1,Concerns about payment security,Less than 15000,Employee
Female,26-35,Married,"Watch movies/listen to music, Take photos/videos","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",>5 hours,Somewhat important,Realme,Durability,1,Product quality doesn't match ads,Less than 15000,Investor
Male,36-45,Student,"Watch movies, Take photos, Listen to music","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",>5 hours,Somewhat important,Realme,Brand,4,Payment security concerns,Less than 15000,Delivery staff
Female,26-32,Single,"Email, , Finance",SET,3-5 hours,Not important,Xiaomi,Ecosystem,5,Issues with delivery,Less than 15000,Delivery staff
Male,46-55,Student,"Cloud apps, Communication/meetings, Social media","Instagram, Facebook, TikTok",5-6 hours,Essential,Vivo,Simplicity,3,Unable to inspect product,15001-20000,Private company employee
LGBTQ+,36-45,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, YouTube, Facebook Messenger, Spotify, TikTok",3-5 hours,Highly essential,Infinix,Ecosystem,1,Limited warranty coverage,Less than 15000,Delivery staff
LGBTQ+,46-55,Single,"Play games, Streaming, Take photos/videos","Instagram, Facebook, Facebook Messenger, TikTok, Telegram",>5 hours,Somewhat important,Other,Stability,3,Issues with delivery,Less than 15000,Content creator
Male,26-35,Single,"Track delivery, Customer chat, Email","YouTube, Facebook Messenger, Discord, Wise",1-3 hours,Somewhat important,Vivo,Product reviews,1,Difficult to compare prices,Less than 15000,Business owner
Male,46-55,Student,"Watch movies, Listen to music, Take photos",WhatsApp,0-1 hours,Somewhat important,Huawei,Reliability,3,Delivery delays,Less than 15000,Manager
Male,56+,Married,"/, Email, Finance",Shopee,0-1 hours,Somewhat important,Samsung,Reliability,2,System crashes frequently,50001-100000,Business owner
LGBTQ+,36-45,Student,"Watch movies/listen to music, Play games, Take photos/videos","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",5-6 hours,Not necessary,Redmi,Reliability,2,Product quality doesn't match ads,Less than 15000,Office worker
Female,46-55,Student,"Watch movies/listen to music, Take photos/videos, Communication/meetings",YouTube,>5 hours,Essential,Other,Simplicity,3,Difficult return process,Less than 15000,Content creator
LGBTQ+,26-35,Working,"Watch movies/listen to music, Play games, Cloud apps","Facebook, Facebook Messenger, Line",3-5 hours,Not important,Oppo,Reliability,3,Product quality doesn't match ads,Less than 15000,Employee
Male,36-45,Working,"Take photos, Listen to music, Social media",LINE,0-1 hours,Not important,Other,Value for money,4,Device overheats,Less than 15000,Online seller
Female,36-45,Student,"Social media, Take photos/videos, Watch movies/Listen to music","Instagram, Facebook, YouTube, Spotify, TikTok",>5 hours,Essential,Xiaomi,Stability,5,Warranty or service concerns,Less than 15000,Artist
LGBTQ+,26-32,Student,"Social media, Take photos/videos, Watch movies/Listen to music","Facebook, YouTube, Facebook Messenger, Spotify",0-1 hours,Highly essential,Samsung,Performance,2,Concerns about warranty,Less than 15000,Freelancer
LGBTQ+,36-45,Working,"Take photos/videos, Watch movies/Listen to music, Online shopping","Instagram, Facebook, YouTube, Facebook Messenger",>5 hours,Somewhat important,Huawei,Product reviews,1,Delivery delays,20001-30000,Civil servant
LGBTQ+,33-40,Single,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",3-5 hours,Not important,Huawei,Product features,1,Concerns about after-sales service,20001-30000,Delivery staff
Male,18-25,Single,"Watch movies/listen to music, Play games, Social media",Facebook,>5 hours,Highly essential,Redmi,Price,5,Issues with delivery,Less than 15000,Student
Male,36-45,Student,Play games,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",5-6 hours,Not necessary,Realme,Brand,4,Payment security concerns,Less than 15000,Content creator
LGBTQ+,33-40,Single,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line",3-5 hours,Not important,Huawei,Product features,1,Concerns about after-sales service,20001-30000,Delivery staff
Female,18-25,Married,"Streaming, Take photos/videos, Edit video","Instagram, Facebook, YouTube",>5 hours,Essential,Xiaomi,Stability,4,Payment issues,Less than 15000,Content creator
Female,26-35,Married,"Play esports, Stream games, Community chat","Instagram, Facebook, Facebook Messenger, Spotify, TikTok",3-5 hours,Essential,Samsung,Design,4,Uncertainty about after-sales service,30001-50000,Manager
Male,33-40,Married,"Play games, Watch movies, Take photos","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",1-3 hours,Somewhat important,Realme,Simplicity,3,Dead pixels on screen,Less than 15000,Retired
Male,26-35,Married,"Watch movies, Play games, Take photos","Facebook, Facebook Messenger, Spotify",0-1 hours,Highly essential,Huawei,Stability,2,Insufficient storage,Less than 15000,Factory worker
Male,33-40,Student,"Play games, Streaming, Social media",Instagram,>5 hours,Not important,Xiaomi,Battery,5,Payment security concerns,15001-20000,Content creator
Female,60+,Working,"Communication, Take photos, Social media",Shopee,3-5 hours,Not necessary,Xiaomi,Sensor quality,3,Issues with delivery,25001-35000,Online seller
Male,36-45,Working,"Watch movies/listen to music, Play games, Cloud apps",Facebook,0-1 hours,Not necessary,Infinix,Battery,1,Concerns about payment security,Less than 15000,Employee
LGBTQ+,60+,Student,"Play games, Take photos/videos","Instagram, TikTok",3-5 hours,Highly essential,Samsung,Brand,4,Difficult to compare prices,30001-50000,Freelancer
Male,36-45,Married,"Watch movies/listen to music, Play games",WhatsApp,0-1 hours,Not important,Xiaomi,Product features,2,Uncertainty about after-sales service,Less than 15000,Housewife
LGBTQ+,36-45,Working,"Take photos/videos, Watch movies/Listen to music, Online shopping","Instagram, Facebook, YouTube, Facebook Messenger",>5 hours,Somewhat important,Huawei,Product reviews,1,Delivery delays,20001-30000,Civil servant
Male,26-35,Single,"Play esports, Stream games, Community chat","Instagram, Facebook, Facebook Messenger, TikTok",1-3 hours,Somewhat important,Vivo,Reliability,5,Concerns about after-sales service,Less than 15000,Freelancer
LGBTQ+,36-45,Working,"Watch movies/listen to music, Take photos/videos, Communication/meetings","Instagram, Facebook, Facebook Messenger, TikTok, LINE",5-6 hours,Somewhat important,Other,Performance,1,Complex payment process,15001-20000,Private company employee
LGBTQ+,18-25,Student,"Watch movies/listen to music, Take photos/videos",Shopee,3-5 hours,Somewhat important,Redmi,Price,1,Product is too expensive,Less than 15000,Private company employee
Female,26-32,Working,"Communication/meetings, Social media",Google Maps,1-3 hours,Not important,Xiaomi,Price,5,Concerns about after-sales service,25001-35000,Civil servant
Male,46-55,Working,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",>5 hours,Highly essential,Redmi,Price,3,Insufficient storage,Less than 15000,Private company employee
LGBTQ+,18-25,Single,"Streaming, Take photos/videos, Edit video",CapCut,5-6 hours,Highly essential,Vivo,Camera,4,Limited warranty coverage,Less than 15000,Content creator
Female,33-40,Student,"Watch movies/listen to music, Communication/meetings, Social media",SET,5-6 hours,Highly essential,Infinix,Value for money,2,Unable to inspect product,Less than 15000,Artist
Female,60+,Student,Play games,CapCut,>5 hours,Highly essential,Huawei,Sensor quality,3,Concerns about safety,20001-30000,Student
Male,33-40,Married,"Watch movies/listen to music, Play games, Cloud apps","Facebook, Facebook Messenger, Spotify, TikTok",1-3 hours,Not important,Realme 7 5G,Brand,1,Insufficient storage,Less than 15000,Investor
LGBTQ+,36-45,Student,"TikTok, Livestream, Search information","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",5-6 hours,Somewhat important,Realme 7 5G,Simplicity,1,Product quality doesn't match ads,Less than 15000,Business owner
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
Male,26-35,Working,"Take photos, Listen to music, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram",1-3 hours,Not important,Huawei,Ecosystem,3,Device overheats,Less than 15000,Manager
LGBTQ+,33-40,Single,"Watch movies/listen to music, Play games, Take photos/videos","Facebook, TikTok, Line",3-5 hours,Not necessary,Oppo,Performance,5,Delivery delays,15001-20000,Private company employee
Female,56+,Single,"Watch movies/listen to music, Communication/meetings, Social media",Shopee,1-3 hours,Highly essential,Infinix,Ecosystem,5,Product is too expensive,Less than 15000,Delivery staff
LGBTQ+,33-40,Student,"Watch movies, Listen to music, Take photos",Instagram,1-3 hours,Highly essential,Apple,Battery,3,Difficult return process,Less than 15000,Factory worker
Female,60+,Married,"Watch movies/listen to music, Take photos/videos, Communication/meetings",SET,>5 hours,Highly essential,Huawei,Product reviews,2,Uncertainty about warranty,20001-30000,Private company employee
LGBTQ+,18-25,Working,"Streaming, Take photos/videos, Edit video",Microsoft Teams,3-5 hours,Somewhat important,Oppo,Battery,3,Blurry camera,Less than 15000,Investor
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
Female,33-40,Working,"Online shopping, Track delivery, Customer chat","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Somewhat important,Huawei,Features,1,Insufficient storage,20001-30000,Freelancer
LGBTQ+,33-40,Single,"Online shopping, Track delivery, Customer chat","Instagram, Facebook, YouTube, Facebook Messenger, Spotify",0-1 hours,Not necessary,Redmi,Battery,4,Dead pixels on screen,Less than 15000,Delivery staff
LGBTQ+,36-45,Married,"Watch movies/listen to music, Take photos/videos, Social media","YouTube, TikTok",0-1 hours,Not important,Redmi,Brand,5,Device overheats,Less than 15000,Investor
Female,46-55,Single,"Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Essential,Infinix,Price,2,Issues with delivery,Less than 15000,Delivery staff
Female,36-45,Working,"Watch movies/listen to music, Take photos/videos, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Telegram",1-3 hours,Not important,Huawei,Battery,5,Device overheats,20001-30000,Retired
LGBTQ+,36-45,Single,"Communication/meetings, Social media","Instagram, Spotify, TikTok",>5 hours,Somewhat important,Redmi,Stability,4,Limited warranty coverage,Less than 15000,Investor
LGBTQ+,56+,Married,"GPS navigation, Check car condition, Listen to podcasts","Instagram, Facebook, Facebook Messenger, TikTok",>5 hours,Not important,Realme 7 5G,Stability,2,Product quality doesn't match ads,Less than 15000,Office worker
Male,18-25,Single,"Watch movies/listen to music, Communication/meetings, Social media","Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram",1-3 hours,Highly essential,Calculator,Product features,5,Concerns about payment security,15001-20000,Student
Male,36-45,Single,"Take photos, Listen to music, Social media",Discord,3-5 hours,Highly essential,Samsung,Performance,4,Uncertainty about warranty,50001-100000,Employee
LGBTQ+,60+,Single,"Play games, Take photos, Watch movies",Discord,5-6 hours,Not necessary,Realme 7 5G,Durability,2,Blurry camera,Less than 15000,Freelancer
Male,36-45,Married,"Play games, Take photos, Watch movies","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok",3-5 hours,Highly essential,Realme,Performance,3,No problems,Less than 15000,Manager
LGBTQ+,36-45,Married,"Watch movies/listen to music, Take photos/videos, Social media","YouTube, TikTok",0-1 hours,Not important,Redmi,Brand,5,Device overheats,Less than 15000,Investor
Female,26-32,Married,"Watch movies/listen to music, Play games, Communication/meetings","Facebook, Facebook Messenger, Spotify, TikTok",1-3 hours,Somewhat important,Other,Brand,2,Payment security concerns,Less than 15000,Office worker
Male,56+,Student,"Watch movies/listen to music, Play games, Cloud apps","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X",0-1 hours,Not necessary,Redmi,Product features,4,Concerns about payment security,Less than 15000,Freelancer
Male,46-55,Working,"Watch movies, Listen to music, Take photos",SET,1-3 hours,Not necessary,Huawei,Price,4,System crashes frequently,Less than 15000,Retired
Female,18-25,Married,"GPS navigation, Check car condition, Listen to podcasts","Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok",0-1 hours,Not important,Vivo,Stability,1,Outdated system,Less than 15000,Office worker
Female,26-35,Working,"Read news, Check stocks, Finance","Instagram, Facebook, YouTube",5-6 hours,Not important,Realme 7 5G,Reliability,5,Payment issues,Less than 15000,Artist
Male,33-40,Married,"Take photos, Listen to music, Social media","YouTube, Facebook Messenger, Discord, Wise",>5 hours,Somewhat important,Other,Brand,5,Dead pixels on screen,Less than 15000,Manager
LGBTQ+,18-25,Working,"Online shopping, Social media, Finance","Instagram, Facebook, Facebook Messenger, TikTok, LINE",1-3 hours,Not important,Infinix,Sensor quality,2,Dead pixels on screen,Less than 15000,Logistics staff
LGBTQ+,36-45,Student,"Watch movies/listen to music, Play games, Take photos/videos","Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram",5-6 hours,Not necessary,Redmi,Reliability,2,Product quality doesn't match ads,Less than 15000,Office worker
LGBTQ+,26-35,Single,"Cloud apps, Communication/meetings, Social media","Instagram, Facebook, YouTube, Spotify, TikTok",3-5 hours,Somewhat important,Infinix,Features,1,Payment security concerns,Less than 15000,Office worker
