Gender,Age_range,Status,Occupation,Monthly_income,Daily_usage_duration,Smartphone_importance,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Frequent_apps,Top3_smartphone_activities,Current_brand
Male,60+,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,5,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Watch movies/listen to music, Communication/meetings, Social media",Infinix
Female,33-40,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,4,Warranty or service concerns,"Instagram, Spotify, TikTok","Communication/meetings, Social media",Redmi
Female,33-40,Single,Business owner,15001-20000,1-3 hours,Most necessary,Price,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","GPS navigation, Check car condition, Listen to podcasts",Samsung
Male,60+,Single,Government officer,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Spotify, TikTok","Take photos/videos, Watch movies/Listen to music, Online shopping",Realme 7 5G
Male,26-32,Single,Business owner,20001-30000,,Not necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies, Play games, Take photos",Vivo
Male,18-25,Single,Business owner,20001-30000,,Most necessary,Product feature,5,Unable to inspect product,VSCO,"Art photography, Video editing, Upload stories",Vivo
Male,41-50,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,1,Unable to inspect product,WhatsApp,"Online shopping, Track delivery, Customer chat",Apple
Male,60+,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, TikTok","Watch movies/listen to music, Play games",Realme
Female,60+,Single,Private company employee,More than 50001,,Necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Spotify, TikTok","Product photography, Edit reviews, Online marketplace",Apple
Male,33-40,Single,Business owner,15001-20000,More than 5 hours,Most necessary,Product feature,4,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Streaming, Take photos/videos, Edit video",Vivo
Female,33-40,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Play games, Take photos/videos",Huawei
Female,33-40,Single,Student,15001-20000,3-5 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok","Play games, Take photos, Watch movies",Samsung
Male,60+,Married,Government officer,20001-30000,1-3 hours,Necessary,Product feature,3,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Play games, Streaming, Take photos/videos",Vivo
Female,26-32,Single,Factory worker,15001-20000,0-1 hours,Most necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Product photography, Edit reviews, Online marketplace",Samsung
Male,26-32,Single,Student,More than 50001,1-3 hours,Not necessary,Product feature,1,Delivery delay,TikTok,"Play esports, Stream games, Community chat",Oppo
Female,26-32,Married,Business owner,15001-20000,1-3 hours,Not necessary,Product review,1,Unable to inspect product,VSCO,"Communication/meetings, Social media",Realme
Male,18-25,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,5,Concerns about payment security,WhatsApp,"Read news, Check stocks, Finance",Oppo
Female,60+,Single,Business owner,15001-20000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Communication/meetings, Social media",Vivo
Male,41-50,Single,Business owner,20001-30000,More than 5 hours,Necessary,Product feature,3,Unable to inspect product,Google Maps,"Communication, Take photos, Social media",Xiaomi
Male,33-40,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram","Play games, Take photos/videos",Xiaomi
Female,33-40,Single,Government officer,15001-20000,3-5 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, YouTube, Spotify, TikTok","Online shopping, Social media, Finance",Huawei
Female,60+,Married,Student,20001-30000,1-3 hours,Necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, TikTok","Art photography, Video editing, Upload stories",Xiaomi
Female,33-40,Single,Government officer,15001-20000,,Necessary,Product feature,2,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger","Online shopping, Social media, Finance",Oppo
Female,60+,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,5,Unable to inspect product,YouTube,"Watch movies/listen to music, Take photos/videos",Samsung
Female,41-50,Single,Government officer,20001-30000,1-3 hours,Most necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Track delivery, Customer chat, Email",Vivo
Female,60+,Married,Factory worker,15001-20000,3-5 hours,Necessary,Product feature,5,Concerns about payment security,"YouTube, TikTok","Watch movies/listen to music, Play games, Take photos/videos",Realme
Female,26-32,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, YouTube, Spotify, Telegram","Art photography, Video editing, Upload stories",Samsung
Male,60+,Single,Student,15001-20000,,Necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, TikTok","Watch movies, Listen to music, Take photos",Apple
Male,26-32,Married,Business owner,15001-20000,1-3 hours,Most necessary,Product feature,4,Delivery delay,"Instagram, Facebook, YouTube","Social media, Take photos/videos, Watch movies/Listen to music",Xiaomi
Male,60+,Married,Private company employee,20001-30000,More than 5 hours,Most necessary,Product feature,2,Unable to inspect product,Microsoft Teams,"Play games, Watch movies, Take photos",Vivo
Male,33-40,Single,Business owner,20001-30000,,Not necessary,Price,5,Delivery delay,"Facebook, Facebook Messenger, Spotify, TikTok","Read news, Check stocks, Finance",Xiaomi
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,1,Unable to inspect product,Gmail,"Watch movies, Listen to music, Take photos",Infinix
Female,60+,Single,Factory worker,15001-20000,0-1 hours,Most necessary,Product feature,5,Unable to inspect product,Shopee,"Product photography, Edit reviews, Online marketplace",Huawei
Male,26-32,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Price,4,Unable to inspect product,"Facebook, YouTube","Watch movies/listen to music, Play games, Take photos/videos",Apple
Female,33-40,Single,Private company employee,15001-20000,,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Read news, Check stocks, Finance",Realme
Female,60+,Single,Business owner,More than 50001,More than 5 hours,Most necessary,Product feature,3,Warranty or service concerns,Facebook Messenger,"Email, , Finance",Samsung
Male,33-40,Single,Business owner,15001-20000,,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","TikTok, Livestream, Search information",Realme 7 5G
Female,60+,Single,Business owner,15001-20000,,Necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, TikTok, Telegram","Play esports, Stream games, Community chat",Xiaomi
Female,33-40,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,2,Warranty or service concerns,Instagram,"Product photography, Edit reviews, Online marketplace",Samsung
Female,33-40,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger","Communication/meetings, Social media",Vivo
Female,60+,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,5,Unable to inspect product,Gmail,"Watch movies/listen to music, Take photos/videos, Social media",Huawei
Female,18-25,Single,Business owner,15001-20000,More than 5 hours,Necessary,Price,3,Unable to inspect product,Telegram,"Social media, Take photos/videos, Watch movies/Listen to music",Apple
Female,60+,Single,Private company employee,30001-40000,More than 5 hours,Not necessary,Product feature,3,Warranty or service concerns,SET,"Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Male,26-32,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Play esports, Stream games, Community chat",Samsung
Female,33-40,Single,Private company employee,15001-20000,,Necessary,Product feature,2,Concerns about payment security,LINE,"Track delivery, Customer chat, Email",Xiaomi
Male,60+,Single,Private company employee,More than 50001,,Necessary,Product feature,1,Delivery delay,"Instagram, YouTube, TikTok","Take photos/videos, Communication/meetings, Social media",Oppo
Male,41-50,Single,Business owner,15001-20000,,Most necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Take photos/videos, Communication/meetings, Social media",Xiaomi
Female,18-25,Single,Factory worker,15001-20000,,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube","Art photography, Video editing, Upload stories",Huawei
Female,33-40,Single,Business owner,15001-20000,,Most necessary,Product feature,2,Unable to inspect product,SET,"Watch movies/listen to music, Communication/meetings, Social media",Infinix
Female,60+,Single,Student,15001-20000,,Necessary,Product feature,5,Delivery delay,SET,"Play games, Take photos, Watch movies",Xiaomi
Female,18-25,Single,Factory worker,15001-20000,,Most necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Take photos, Watch movies",Apple
Female,26-32,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,4,Concerns about payment security,SET,Watch movies/listen to music,Apple
Male,41-50,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,2,Warranty or service concerns,Microsoft Teams,"Communication/meetings, Social media",Realme
Male,33-40,Single,Business owner,20001-30000,,Most necessary,Product feature,5,Unable to inspect product,Discord,"Play games, Take photos, Watch movies",Apple
Female,26-32,Married,Government officer,30001-40000,,Not necessary,Product feature,5,Unable to inspect product,TikTok,"Play games, Streaming, Social media",Oppo
Female,60+,Single,Business owner,15001-20000,0-1 hours,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Online meetings, Schedule management, Email",Xiaomi
Female,18-25,Single,Business owner,15001-20000,,Most necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Spotify, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Samsung
Male,60+,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Play games, Take photos, Watch movies",Realme
Male,41-50,Single,Business owner,20001-30000,More than 5 hours,Not necessary,Product feature,5,Unable to inspect product,Discord,"Take photos/videos, Watch movies/Listen to music, Online shopping",Vivo
Male,33-40,Single,Business owner,15001-20000,,Not necessary,Product feature,4,Concerns about payment security,"YouTube, TikTok","Communication, Take photos, Social media",Infinix
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Product feature,4,Delivery delay,TikTok,"Play games, Streaming, Social media",Realme
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,2,Warranty or service concerns,TikTok,"Watch movies/listen to music, Play games, Social media",Apple
Male,33-40,Single,Private company employee,30001-40000,0-1 hours,Most necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Play games, Take photos, Watch movies",Samsung
Male,33-40,Single,Private company employee,15001-20000,,Not necessary,Product feature,3,Warranty or service concerns,Telegram,"Social media, Take photos/videos, Watch movies/Listen to music",Apple
Female,18-25,Single,Student,More than 50001,More than 5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, YouTube, TikTok","Take photos/videos, Watch movies/Listen to music, Online shopping",Samsung
Female,60+,Single,Factory worker,More than 50001,,Most necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Play esports, Stream games, Community chat",Oppo
Female,18-25,Single,Private company employee,30001-40000,More than 5 hours,Necessary,Product feature,3,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Play games, Streaming, Take photos/videos",Oppo
Male,60+,Single,Government officer,15001-20000,More than 5 hours,Necessary,Product feature,1,Delivery delay,"Instagram, YouTube, Facebook Messenger, TikTok","Online shopping, Track delivery, Customer chat",Apple
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Track delivery, Customer chat, Email",Oppo
Female,41-50,Married,Private company employee,More than 50001,,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Cloud apps, Communication/meetings, Social media",Apple
Male,26-32,Married,Factory worker,15001-20000,,Necessary,Product feature,5,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Social media",Realme
Female,41-50,Single,Student,15001-20000,3-5 hours,Not necessary,Product feature,2,Warranty or service concerns,"Facebook, Facebook Messenger, Spotify","GPS navigation, Check car condition, Listen to podcasts",Oppo
Male,33-40,Single,Student,20001-30000,,Not necessary,Price,3,Concerns about payment security,"Facebook, Facebook Messenger, Spotify","Play games, Streaming, Take photos/videos",Realme
Female,26-32,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,1,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, TikTok","Play games, Streaming, Take photos/videos",Apple
Male,33-40,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,4,Delivery delay,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Play esports, Stream games, Community chat",Oppo
Male,60+,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,"Facebook, YouTube, Facebook Messenger","Online shopping, Track delivery, Customer chat",Apple
Male,33-40,Married,Private company employee,15001-20000,,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Watch movies, Take photos",Infinix
Female,60+,Married,Business owner,20001-30000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, YouTube, Spotify, TikTok","Watch movies/listen to music, Play games, Take photos/videos",Huawei
Female,33-40,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,1,Concerns about payment security,SET,"Take photos/videos, Watch movies/Listen to music, Online shopping",Samsung
Female,26-32,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,TikTok,"Communication, Take photos, Social media",Huawei
Male,41-50,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product review,2,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger","Online meetings, Schedule management, Email",Vivo
Male,60+,Single,Private company employee,15001-20000,,Most necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies, Take photos, Listen to music",Oppo
Male,26-32,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,1,Delivery delay,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Art photography, Video editing, Upload stories",Huawei
Female,41-50,Single,Business owner,20001-30000,1-3 hours,Necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Take photos, Listen to music, Social media",Huawei
Male,41-50,Single,Private company employee,15001-20000,,Necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Take photos/videos, Communication/meetings, Social media",Infinix
Female,26-32,Married,Private company employee,20001-30000,3-5 hours,Most necessary,Product feature,1,Unable to inspect product,"YouTube, TikTok","Communication/meetings, Social media",Vivo
Male,18-25,Single,Business owner,15001-20000,1-3 hours,Not necessary,Price,1,Concerns about payment security,"Facebook, TikTok, Line","Watch movies, Take photos, Listen to music",Huawei
Male,41-50,Married,Government officer,More than 50001,0-1 hours,Not necessary,Product feature,2,Unable to inspect product,Gmail,"Email, , Finance",Oppo
Male,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,4,Concerns about payment security,Gmail,"Play games, Take photos/videos, Cloud apps",Realme 7 5G
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,1,Concerns about payment security,CapCut,"Take photos, Listen to music, Social media",Realme 7 5G
Female,60+,Married,Business owner,20001-30000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Play games, Watch movies, Take photos",Huawei
Male,18-25,Single,Student,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,Telegram,Watch movies/listen to music,Realme
Male,60+,Married,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Watch movies/listen to music, Take photos/videos",Huawei
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Online shopping, Social media, Finance",Realme 7 5G
Female,41-50,Single,Private company employee,15001-20000,,Not necessary,Product feature,5,Unable to inspect product,"Facebook, TikTok, Line","Play games, Take photos/videos",Realme 7 5G
Female,60+,Single,Private company employee,15001-20000,0-1 hours,Most necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram","Play esports, Stream games, Community chat",Vivo
Female,33-40,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product review,3,Unable to inspect product,Microsoft Teams,"Watch movies/listen to music, Take photos/videos",Infinix
Female,60+,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,5,Warranty or service concerns,Microsoft Teams,"Play games, Take photos/videos, Cloud apps",Vivo
Female,41-50,Married,Factory worker,15001-20000,1-3 hours,Most necessary,Product feature,1,Unable to inspect product,"Facebook, TikTok, Line","Watch movies/listen to music, Play games, Take photos",Xiaomi
Female,33-40,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","/, Email, Finance",Realme
Female,41-50,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,5,Delivery delay,"Instagram, Facebook, Facebook Messenger, TikTok, Telegram","Watch movies/listen to music, Communication/meetings, Social media",Infinix
Male,60+,Married,Private company employee,15001-20000,More than 5 hours,Necessary,Price,2,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Watch movies/listen to music, Social media",Realme
Male,26-32,Single,Business owner,15001-20000,More than 5 hours,Most necessary,Product review,1,Unable to inspect product,YouTube,"Take photos, Listen to music, Social media",Realme
Female,60+,Married,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Social media",Realme
Male,26-32,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,3,Unable to inspect product,Instagram,"Watch movies/listen to music, Play games, Social media",Huawei
Male,60+,Married,Business owner,20001-30000,1-3 hours,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Play games, Take photos, Watch movies",Huawei
Male,41-50,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,5,Concerns about payment security,"Facebook, YouTube","Take photos/videos, Watch movies/Listen to music, Online shopping",Infinix
Female,60+,Single,Private company employee,30001-40000,1-3 hours,Most necessary,Product feature,1,Unable to inspect product,"Facebook, YouTube","Watch movies/listen to music, Play games, Take photos",Samsung
Female,60+,Single,Student,15001-20000,More than 5 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Spotify, TikTok","Social media, Take photos/videos, Watch movies/Listen to music",Realme 7 5G
Female,18-25,Married,Business owner,20001-30000,0-1 hours,Not necessary,Product feature,2,Warranty or service concerns,Instagram,"Play games, Watch movies, Take photos",Vivo
Male,18-25,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,4,Warranty or service concerns,WhatsApp,"Chat with family, Read e-books, Listen to radio",Oppo
Male,18-25,Married,Business owner,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Product photography, Edit reviews, Online marketplace",Realme
Female,41-50,Married,Business owner,More than 50001,3-5 hours,Not necessary,Product feature,1,Concerns about payment security,"Instagram, Facebook, YouTube, Spotify, TikTok","Art photography, Video editing, Upload stories",Oppo
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,1,Unable to inspect product,Microsoft Teams,"Art photography, Video editing, Upload stories",Realme
Female,41-50,Married,Private company employee,15001-20000,3-5 hours,Not necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube",Play games,Realme
Female,33-40,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,4,Concerns about payment security,"Instagram, TikTok","Take photos, Listen to music, Social media",Realme
Male,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,4,Warranty or service concerns,"Facebook, Facebook Messenger, Line","Play games, Take photos, Watch movies",Realme 7 5G
Male,33-40,Single,Student,15001-20000,,Not necessary,Product feature,4,Unable to inspect product,LINE,"Play games, Take photos/videos, Cloud apps",Realme
Female,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,5,Unable to inspect product,Shopee,"Take photos/videos, Watch movies/Listen to music, Online shopping",Xiaomi
Female,33-40,Single,Private company employee,15001-20000,3-5 hours,Necessary,Price,1,Unable to inspect product,"Instagram, Facebook, YouTube","GPS navigation, Check car condition, Listen to podcasts",Huawei
Female,33-40,Single,Student,15001-20000,,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger","Art photography, Video editing, Upload stories",Apple
Male,26-32,Single,Private company employee,20001-30000,1-3 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","GPS navigation, Check car condition, Listen to podcasts",Huawei
Male,26-32,Single,Business owner,20001-30000,0-1 hours,Necessary,Price,4,Unable to inspect product,Instagram,"Watch movies/listen to music, Play games",Huawei
Female,26-32,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product review,1,Concerns about payment security,"Facebook, TikTok, Line","Online shopping, Social media, Finance",Xiaomi
Female,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,5,Unable to inspect product,Discord,"Social media, Take photos/videos, Watch movies/Listen to music",Vivo
Male,33-40,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, TikTok","Play games, Streaming, Social media",Apple
Male,33-40,Married,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,5,Unable to inspect product,Microsoft Teams,"Play games, Take photos/videos, Cloud apps",Huawei
Male,33-40,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Realme
Female,33-40,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,2,Delivery delay,Instagram,"Online shopping, Social media, Finance",Vivo
Male,26-32,Single,Government officer,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Play games, Social media",Oppo
Male,33-40,Married,Private company employee,15001-20000,1-3 hours,Necessary,Price,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger","Watch movies/listen to music, Social media",Apple
Male,41-50,Single,Student,15001-20000,,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube","Play games, Streaming, Social media",Infinix
Female,26-32,Married,Private company employee,30001-40000,0-1 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies, Take photos, Listen to music",Oppo
Male,33-40,Single,Government officer,20001-30000,0-1 hours,Most necessary,Product feature,1,Warranty or service concerns,Shopee,"GPS navigation, Check car condition, Listen to podcasts",Huawei
Male,26-32,Single,Business owner,More than 50001,1-3 hours,Most necessary,Product feature,3,Concerns about payment security,"Instagram, YouTube, Spotify, Telegram","Play games, Take photos/videos, Social media",Oppo
Male,26-32,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Infinix
Female,60+,Single,Business owner,20001-30000,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger","Play games, Take photos/videos, Social media",Realme
Female,18-25,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Unable to inspect product,YouTube,"Watch movies, Take photos, Listen to music",Xiaomi
Male,41-50,Single,Student,More than 50001,More than 5 hours,Most necessary,Product feature,1,Unable to inspect product,"Instagram, TikTok","Watch movies/listen to music, Play games, Communication/meetings",Samsung
Female,26-32,Single,Private company employee,20001-30000,3-5 hours,Not necessary,Product feature,3,Warranty or service concerns,"Facebook, Facebook Messenger, Spotify, TikTok","Product photography, Edit reviews, Online marketplace",Huawei
Male,33-40,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X",Play games,Xiaomi
Female,33-40,Married,Student,20001-30000,3-5 hours,Not necessary,Product feature,4,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, Spotify","Online shopping, Track delivery, Customer chat",Huawei
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Price,2,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Chat with family, Read e-books, Listen to radio",Apple
Female,26-32,Married,Business owner,20001-30000,0-1 hours,Necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Play games, Social media",Huawei
Female,26-32,Single,Business owner,30001-40000,1-3 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger","Track delivery, Customer chat, Email",Samsung
Female,18-25,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,"Facebook, YouTube, Facebook Messenger",Play games,Apple
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Read news, Check stocks, Finance",Apple
Female,60+,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,1,Concerns about payment security,"Instagram, Facebook, TikTok","Play games, Streaming, Social media",Samsung
Male,26-32,Married,Private company employee,30001-40000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,Facebook Messenger,"Take photos/videos, Watch movies/Listen to music, Online shopping",Samsung
Female,26-32,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Take photos/videos, Communication/meetings, Social media",Huawei
Male,33-40,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,1,Delivery delay,Google Maps,"Read news, Check stocks, Finance",Xiaomi
Male,33-40,Single,Private company employee,30001-40000,More than 5 hours,Not necessary,Product feature,3,Warranty or service concerns,VSCO,"Take photos/videos, Communication/meetings, Social media",Samsung
Female,33-40,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Cloud apps, Communication/meetings, Social media",Realme
