@RELATION smartphone

@ATTRIBUTE Gender {Female, LGBTQ+, Male}
@ATTRIBUTE Age_range {18-25, 26-32, 26-35, 33-40, 36-45, 46-55, 56+, 60+}
@ATTRIBUTE Status {Married, Single, Student, Working}
@ATTRIBUTE Top3_smartphone_activities {'/, Email, Finance', 'Art photography, Video editing, Upload stories', 'Chat with family, Read e-books, Listen to radio', 'Cloud apps, Communication/meetings, Social media', 'Communication, Take photos, Social media', 'Communication/meetings, Social media', 'Email, , Finance', 'GPS navigation, Check car condition, Listen to podcasts', 'Online meetings, Schedule management, Email', 'Online shopping, Social media, Finance', 'Online shopping, Track delivery, Customer chat', 'Play esports, Stream games, Community chat', 'Play games', 'Play games, Streaming, Social media', 'Play games, Streaming, Take photos/videos', 'Play games, Take photos, Watch movies', 'Play games, Take photos/videos', 'Play games, Take photos/videos, Cloud apps', 'Play games, Take photos/videos, Social media', 'Play games, Watch movies, Take photos', 'Product photography, Edit reviews, Online marketplace', 'Read news, Check stocks, Finance', 'Social media, Take photos/videos, Watch movies/Listen to music', 'Streaming, Take photos/videos, Edit video', 'Take photos, Listen to music, Social media', 'Take photos/videos, Communication/meetings, Social media', 'Take photos/videos, Watch movies/Listen to music, Online shopping', 'TikTok, Livestream, Search information', 'Track delivery, Customer chat, Email', 'Watch movies, Listen to music, Take photos', 'Watch movies, Play games, Take photos', 'Watch movies, Take photos, Listen to music', 'Watch movies/listen to music', 'Watch movies/listen to music, Communication/meetings, Social media', 'Watch movies/listen to music, Play games', 'Watch movies/listen to music, Play games, Cloud apps', 'Watch movies/listen to music, Play games, Communication/meetings', 'Watch movies/listen to music, Play games, Social media', 'Watch movies/listen to music, Play games, Take photos', 'Watch movies/listen to music, Play games, Take photos/videos', 'Watch movies/listen to music, Social media', 'Watch movies/listen to music, Take photos/videos', 'Watch movies/listen to music, Take photos/videos, Communication/meetings', 'Watch movies/listen to music, Take photos/videos, Social media'}
@ATTRIBUTE Frequent_apps {CapCut, Discord, Facebook, 'Facebook Messenger', 'Facebook, Facebook Messenger, Line', 'Facebook, Facebook Messenger, Spotify', 'Facebook, Facebook Messenger, Spotify, TikTok', 'Facebook, TikTok, Line', 'Facebook, YouTube', 'Facebook, YouTube, Facebook Messenger', 'Facebook, YouTube, Facebook Messenger, Spotify', 'Facebook, YouTube, Facebook Messenger, TikTok', Gmail, 'Google Maps', Instagram, 'Instagram, Facebook Messenger, TikTok', 'Instagram, Facebook, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, Facebook Messenger, TikTok', 'Instagram, Facebook, Facebook Messenger, TikTok, LINE', 'Instagram, Facebook, Facebook Messenger, TikTok, Telegram', 'Instagram, Facebook, TikTok', 'Instagram, Facebook, YouTube', 'Instagram, Facebook, YouTube, Facebook Messenger', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, Telegram', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X', 'Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok', 'Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram', 'Instagram, Facebook, YouTube, Spotify, TikTok', 'Instagram, Facebook, YouTube, TikTok', 'Instagram, Spotify, TikTok', 'Instagram, TikTok', 'Instagram, YouTube, Facebook Messenger, Spotify, TikTok', 'Instagram, YouTube, Facebook Messenger, TikTok', 'Instagram, YouTube, Spotify, Telegram', 'Instagram, YouTube, Spotify, TikTok', 'Instagram, YouTube, TikTok', LINE, 'Microsoft Teams', SET, Shopee, Telegram, TikTok, VSCO, WhatsApp, YouTube, 'YouTube, Facebook Messenger, Discord, Wise', 'YouTube, TikTok'}
@ATTRIBUTE Daily_usage_duration {'0-1 hours', '1-3 hours', '3-5 hours', '5-6 hours', '>5 hours'}
@ATTRIBUTE Smartphone_importance {Essential, 'Highly essential', 'Not important', 'Not necessary', 'Somewhat important'}
@ATTRIBUTE Key_factor_online_purchase {Battery, Brand, Camera, Design, Durability, Ecosystem, Features, Performance, Price, 'Product features', 'Product reviews', Reliability, 'Sensor quality', Simplicity, Stability, 'Value for money'}
@ATTRIBUTE Brand_satisfaction NUMERIC
@ATTRIBUTE Purchase_problem {'After-sales service issues', 'Blurry camera', 'Cannot try product before buying', 'Complex payment process', 'Concerns about after-sales service', 'Concerns about payment security', 'Concerns about safety', 'Concerns about warranty', 'Dead pixels on screen', 'Delivery delays', 'Device overheats', 'Difficult return process', 'Difficult to compare prices', 'Insufficient storage', 'Issues with delivery', 'Limited warranty coverage', 'No problems', 'Outdated system', 'Payment issues', 'Payment security concerns', 'Product is too expensive', 'Product quality doesn\'t match ads', 'System crashes frequently', 'Unable to inspect product', 'Uncertainty about after-sales service', 'Uncertainty about warranty', 'Warranty or service concerns'}
@ATTRIBUTE Monthly_income {100001-150000, 15001-20000, 20001-30000, 25001-35000, 30001-40000, 30001-50000, 50001, 50001-100000, 'Less than 15000'}
@ATTRIBUTE Occupation {Artist, 'Business owner', 'Civil servant', 'Content creator', 'Delivery staff', Employee, 'Factory worker', Freelancer, Housewife, Investor, 'Logistics staff', Manager, 'Office worker', 'Online seller', 'Private company employee', Retired, Student}
@ATTRIBUTE Current_brand {Apple, Huawei, Infinix, Oppo, Realme, 'Realme 7 5G', Redmi, Samsung, Vivo, Xiaomi}

@DATA
Male,46-55,Single,'Take photos/videos, Communication/meetings, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok','5-6 hours','Somewhat important',Performance,1,'Limited warranty coverage','Less than 15000','Private company employee',Infinix
Male,33-40,Single,'Play games, Streaming, Social media','Facebook, YouTube, Facebook Messenger','>5 hours','Highly essential',Price,1,'Concerns about safety','Less than 15000','Civil servant',Vivo
Male,36-45,Working,'Play games, Watch movies, Take photos','Microsoft Teams','0-1 hours','Highly essential',Stability,1,'No problems','Less than 15000',Artist,Vivo
LGBTQ+,60+,Single,'Take photos, Listen to music, Social media','Instagram, YouTube, TikTok','0-1 hours',Essential,Durability,4,'Delivery delays','Less than 15000',Housewife,Vivo
LGBTQ+,56+,Single,'Email, , Finance','YouTube, TikTok','0-1 hours','Somewhat important','Product features',2,'Issues with delivery','Less than 15000',Manager,Infinix
Female,60+,Single,'Watch movies/listen to music, Take photos/videos',Gmail,'5-6 hours','Somewhat important','Product reviews',2,'Cannot try product before buying','Less than 15000','Office worker',Samsung
Male,46-55,Single,'Watch movies, Take photos, Listen to music','Facebook, YouTube','5-6 hours','Highly essential',Simplicity,1,'Concerns about safety',100001-150000,Housewife,Oppo
LGBTQ+,60+,Working,'Streaming, Take photos/videos, Edit video',SET,'0-1 hours',Essential,Durability,3,'After-sales service issues',20001-30000,Artist,Vivo
Female,46-55,Single,'Watch movies/listen to music, Take photos/videos, Communication/meetings','Instagram, Facebook, Facebook Messenger, Spotify, TikTok','0-1 hours','Somewhat important',Price,4,'Concerns about warranty',30001-50000,Investor,Samsung
LGBTQ+,33-40,Working,'Communication, Take photos, Social media','YouTube, Facebook Messenger, Discord, Wise','0-1 hours','Not important',Reliability,4,'After-sales service issues',30001-50000,'Logistics staff',Oppo
Male,46-55,Single,'Watch movies/listen to music, Play games, Social media','Instagram, Facebook, TikTok','3-5 hours',Essential,'Product features',4,'Cannot try product before buying',20001-30000,Freelancer,Vivo
Male,36-45,Working,'Watch movies/listen to music, Play games, Cloud apps',Facebook,'0-1 hours','Not necessary',Battery,1,'Concerns about payment security','Less than 15000',Employee,Infinix
Male,33-40,Single,'Play games','Facebook, YouTube, Facebook Messenger, TikTok','5-6 hours','Not necessary',Camera,3,'Product quality doesn\'t match ads',15001-20000,Retired,Vivo
LGBTQ+,60+,Working,'Watch movies, Take photos, Listen to music','Instagram, Facebook, Facebook Messenger, TikTok, LINE','>5 hours','Highly essential',Design,1,'Concerns about warranty',50001-100000,Employee,Oppo
LGBTQ+,56+,Working,'Watch movies/listen to music, Play games, Communication/meetings','Instagram, Facebook, YouTube, Facebook Messenger, Spotify','0-1 hours','Not important',Camera,3,'Product is too expensive','Less than 15000',Investor,Huawei
LGBTQ+,46-55,Married,'Watch movies/listen to music, Take photos/videos, Communication/meetings',TikTok,'>5 hours','Not necessary',Stability,3,'Blurry camera','Less than 15000','Business owner',Apple
Male,46-55,Student,'Watch movies/listen to music, Social media','Instagram, YouTube, TikTok','>5 hours','Highly essential',Features,2,'Concerns about safety','Less than 15000',Freelancer,Infinix
Male,33-40,Working,'Read news, Check stocks, Finance','Facebook, Facebook Messenger, Spotify, TikTok','>5 hours',Essential,Ecosystem,2,'Concerns about payment security',20001-30000,Artist,Realme
Male,18-25,Married,'Social media, Take photos/videos, Watch movies/Listen to music','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok','>5 hours','Somewhat important',Ecosystem,5,'Issues with delivery','Less than 15000','Logistics staff',Xiaomi
Female,36-45,Student,'Online shopping, Social media, Finance','Instagram, YouTube, Spotify, TikTok','3-5 hours','Not necessary',Durability,4,'Difficult to compare prices','Less than 15000','Civil servant',Huawei
LGBTQ+,56+,Single,'Email, , Finance','YouTube, TikTok','0-1 hours','Somewhat important','Product features',2,'Issues with delivery','Less than 15000',Manager,Infinix
Female,26-35,Working,'/, Email, Finance','Instagram, Facebook, Facebook Messenger, TikTok, LINE','5-6 hours','Highly essential',Battery,4,'Difficult return process','Less than 15000',Housewife,Huawei
Female,56+,Working,'Watch movies/listen to music, Play games, Take photos','Instagram, Facebook, Facebook Messenger, TikTok, LINE','3-5 hours','Highly essential','Sensor quality',3,'Unable to inspect product','Less than 15000',Freelancer,Realme
Female,36-45,Student,'/, Email, Finance',Instagram,'5-6 hours','Highly essential',Ecosystem,1,'Cannot try product before buying','Less than 15000',Artist,Redmi
Male,46-55,Working,'Play games, Take photos, Watch movies','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','>5 hours','Highly essential',Price,3,'Insufficient storage','Less than 15000','Private company employee',Redmi
LGBTQ+,18-25,Student,'Chat with family, Read e-books, Listen to radio','Facebook, YouTube, Facebook Messenger, Spotify','1-3 hours',Essential,'Sensor quality',4,'Blurry camera',20001-30000,Employee,Huawei
Male,60+,Student,'Product photography, Edit reviews, Online marketplace','Instagram, Facebook, Facebook Messenger, TikTok','0-1 hours',Essential,Ecosystem,5,'Concerns about safety',20001-30000,'Civil servant',Huawei
LGBTQ+,60+,Working,'Watch movies/listen to music, Play games, Take photos',LINE,'1-3 hours','Somewhat important',Simplicity,5,'Dead pixels on screen','Less than 15000',Retired,Apple
LGBTQ+,60+,Married,'Art photography, Video editing, Upload stories',Facebook,'1-3 hours',Essential,'Sensor quality',4,'Payment security concerns','Less than 15000','Business owner','Realme 7 5G'
Male,26-32,Single,'Watch movies/listen to music, Play games, Social media',Instagram,'1-3 hours','Highly essential',Brand,3,'Cannot try product before buying','Less than 15000',Housewife,Huawei
LGBTQ+,26-35,Single,'Chat with family, Read e-books, Listen to radio','Facebook, Facebook Messenger, Spotify','3-5 hours',Essential,'Value for money',5,'Insufficient storage','Less than 15000','Delivery staff',Infinix
LGBTQ+,56+,Single,'Watch movies/listen to music, Play games, Communication/meetings','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line','>5 hours','Highly essential','Product reviews',1,'Concerns about payment security','Less than 15000',Artist,Vivo
Female,33-40,Married,'Watch movies, Listen to music, Take photos','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram','3-5 hours',Essential,Features,5,'Concerns about warranty',15001-20000,Retired,Vivo
Female,33-40,Student,'GPS navigation, Check car condition, Listen to podcasts','Facebook Messenger','3-5 hours','Highly essential','Value for money',3,'Complex payment process',50001-100000,Student,Samsung
LGBTQ+,36-45,Student,'Play esports, Stream games, Community chat',TikTok,'5-6 hours','Highly essential',Reliability,3,'Payment issues',30001-50000,Freelancer,Oppo
Female,36-45,Working,'Play games, Streaming, Social media','Instagram, YouTube, Spotify, Telegram','1-3 hours',Essential,Performance,2,'Product is too expensive',50001-100000,Investor,Samsung
Male,56+,Student,'Online shopping, Social media, Finance','Instagram, Facebook, YouTube, Spotify, TikTok','0-1 hours','Not necessary',Performance,1,'Concerns about safety','Less than 15000',Retired,Oppo
Female,26-35,Student,'Communication, Take photos, Social media','Facebook, TikTok, Line','5-6 hours',Essential,Ecosystem,1,'Warranty or service concerns',25001-35000,Manager,Xiaomi
Male,26-32,Working,'Communication, Take photos, Social media','Instagram, Facebook, TikTok','5-6 hours','Not important','Product features',5,'Outdated system','Less than 15000','Logistics staff',Redmi
Male,56+,Student,'Watch movies/listen to music, Play games, Cloud apps','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X','0-1 hours','Not necessary','Product features',4,'Concerns about payment security','Less than 15000',Freelancer,Redmi
Male,26-32,Married,'GPS navigation, Check car condition, Listen to podcasts','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','3-5 hours',Essential,Design,3,'Warranty or service concerns','Less than 15000','Factory worker',Realme
LGBTQ+,60+,Married,'Art photography, Video editing, Upload stories',Facebook,'1-3 hours',Essential,'Sensor quality',4,'Payment security concerns','Less than 15000','Business owner','Realme 7 5G'
Female,33-40,Working,'Take photos/videos, Communication/meetings, Social media','Facebook, Facebook Messenger, Spotify, TikTok','0-1 hours','Not important',Durability,5,'Dead pixels on screen','Less than 15000',Employee,Huawei
Female,26-35,Working,'Online shopping, Social media, Finance',Discord,'0-1 hours','Highly essential',Camera,3,'Issues with delivery','Less than 15000','Logistics staff',Xiaomi
Male,46-55,Single,'Take photos/videos, Communication/meetings, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok','5-6 hours','Somewhat important',Performance,1,'Limited warranty coverage','Less than 15000','Private company employee',Infinix
Female,36-45,Student,'Play games, Take photos/videos, Cloud apps','Instagram, YouTube, Spotify, Telegram','>5 hours','Not necessary',Design,2,'Dead pixels on screen',30001-50000,Artist,Samsung
Female,36-45,Married,'Watch movies/listen to music',Gmail,'5-6 hours','Somewhat important',Price,5,'Difficult return process','Less than 15000',Housewife,Apple
Male,33-40,Married,'Online shopping, Track delivery, Customer chat','Facebook, YouTube, Facebook Messenger, Spotify','5-6 hours','Not necessary',Camera,1,'Limited warranty coverage',20001-30000,Artist,Huawei
Female,46-55,Single,'Art photography, Video editing, Upload stories','Instagram, Facebook, YouTube, Spotify, TikTok','1-3 hours','Somewhat important',Durability,1,'Payment security concerns','Less than 15000','Civil servant',Xiaomi
Female,60+,Working,'Track delivery, Customer chat, Email','Instagram, Facebook, Facebook Messenger, TikTok','0-1 hours','Somewhat important',Stability,5,'System crashes frequently','Less than 15000','Office worker',Oppo
Male,56+,Student,'Watch movies/listen to music, Play games, Communication/meetings','Instagram, Facebook, YouTube, Spotify, TikTok','0-1 hours',Essential,Simplicity,5,'After-sales service issues','Less than 15000','Delivery staff',Apple
Male,18-25,Student,'Play games, Take photos, Watch movies','Instagram, Facebook, TikTok','>5 hours','Not necessary',Brand,2,'System crashes frequently','Less than 15000',Employee,'Realme 7 5G'
Female,60+,Working,'Online shopping, Track delivery, Customer chat','Facebook, YouTube, Facebook Messenger, Spotify','>5 hours','Highly essential','Product features',2,'Warranty or service concerns','Less than 15000','Business owner',Xiaomi
Male,36-45,Student,'Play games, Streaming, Social media','Instagram, Facebook, Facebook Messenger, TikTok, LINE','3-5 hours','Not important',Durability,5,'Limited warranty coverage',15001-20000,'Online seller',Xiaomi
Male,18-25,Working,'Watch movies, Take photos, Listen to music','Facebook, TikTok, Line','1-3 hours','Not necessary',Price,1,'Payment issues','Less than 15000','Business owner',Huawei
Male,36-45,Student,'Read news, Check stocks, Finance',VSCO,'0-1 hours','Somewhat important',Ecosystem,5,'Issues with delivery','Less than 15000','Delivery staff',Samsung
Male,56+,Student,'Watch movies/listen to music, Play games, Communication/meetings','Instagram, Facebook, YouTube, Spotify, TikTok','0-1 hours',Essential,Simplicity,5,'After-sales service issues','Less than 15000','Delivery staff',Apple
LGBTQ+,60+,Single,'Watch movies/listen to music, Take photos/videos','Instagram, Facebook, YouTube, TikTok','0-1 hours','Not important',Stability,4,'Insufficient storage',20001-30000,Artist,Huawei
Male,56+,Married,'Cloud apps, Communication/meetings, Social media','Instagram, Facebook, Facebook Messenger, TikTok','1-3 hours','Not necessary',Stability,1,'Product is too expensive',50001-100000,Student,Samsung
Female,18-25,Working,'Track delivery, Customer chat, Email','Facebook, YouTube','5-6 hours',Essential,Simplicity,1,'Payment issues',20001-30000,Artist,Realme
Male,26-35,Married,'Product photography, Edit reviews, Online marketplace','Facebook, TikTok, Line','1-3 hours','Somewhat important','Value for money',4,'Difficult return process','Less than 15000',Employee,Realme
LGBTQ+,26-32,Student,'Watch movies/listen to music, Take photos/videos, Communication/meetings','Instagram, Facebook, Facebook Messenger, Spotify, TikTok','0-1 hours','Somewhat important',Brand,3,'Difficult return process','Less than 15000','Logistics staff',Infinix
LGBTQ+,56+,Student,'Watch movies/listen to music, Play games, Communication/meetings',Discord,'>5 hours','Not important',Battery,4,'Device overheats',20001-30000,'Content creator',Huawei
Female,36-45,Student,'/, Email, Finance',Instagram,'5-6 hours','Highly essential',Ecosystem,1,'Cannot try product before buying','Less than 15000',Artist,Redmi
Male,26-35,Married,'Take photos/videos, Watch movies/Listen to music, Online shopping',Discord,'3-5 hours','Not important',Simplicity,2,'Cannot try product before buying',50001-100000,Artist,Samsung
Male,56+,Single,'Play games',Gmail,'5-6 hours','Not important',Durability,3,'Outdated system','Less than 15000','Content creator',Realme
Male,26-32,Single,'Watch movies/listen to music, Play games, Take photos/videos','Instagram, Facebook, YouTube, Spotify, TikTok','>5 hours','Not important',Durability,3,'Uncertainty about warranty','Less than 15000',Manager,Realme
Female,33-40,Married,'Watch movies, Listen to music, Take photos',Shopee,'5-6 hours','Not necessary','Value for money',1,'Concerns about payment security','Less than 15000',Manager,Redmi
Male,36-45,Married,'Play games, Streaming, Social media','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram','0-1 hours','Not necessary',Reliability,1,'Warranty or service concerns','Less than 15000','Content creator',Samsung
Female,36-45,Married,'Track delivery, Customer chat, Email',Shopee,'1-3 hours',Essential,Stability,3,'System crashes frequently',15001-20000,'Logistics staff',Oppo
Male,56+,Student,'Take photos/videos, Watch movies/Listen to music, Online shopping',CapCut,'>5 hours','Not necessary',Simplicity,3,'Difficult return process','Less than 15000','Civil servant',Apple
LGBTQ+,36-45,Student,'Watch movies/listen to music, Take photos/videos','Microsoft Teams','0-1 hours','Not important','Product reviews',3,'Insufficient storage','Less than 15000',Freelancer,Infinix
LGBTQ+,26-32,Single,'Communication, Take photos, Social media','Google Maps','1-3 hours',Essential,Simplicity,1,'Blurry camera','Less than 15000','Civil servant','Realme 7 5G'
Male,46-55,Married,'Email, , Finance',Facebook,'3-5 hours','Somewhat important',Brand,3,'Concerns about safety','Less than 15000','Online seller',Infinix
Male,60+,Student,'Take photos, Listen to music, Social media','Instagram, Facebook, Facebook Messenger, Spotify, TikTok','1-3 hours','Not necessary',Brand,2,'Delivery delays',30001-50000,'Factory worker',Oppo
LGBTQ+,36-45,Working,'Track delivery, Customer chat, Email','Instagram, TikTok','1-3 hours','Highly essential',Brand,3,'Difficult to compare prices',50001-100000,Manager,Samsung
LGBTQ+,46-55,Student,'Take photos, Listen to music, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram','3-5 hours','Highly essential',Battery,2,'Cannot try product before buying',50001-100000,Student,Oppo
Female,33-40,Working,'Watch movies/listen to music, Play games','Facebook, YouTube, Facebook Messenger, Spotify','>5 hours','Somewhat important',Camera,2,'Concerns about after-sales service','Less than 15000',Housewife,Oppo
Male,36-45,Single,'Communication, Take photos, Social media','YouTube, TikTok','5-6 hours','Not important','Sensor quality',4,'Complex payment process','Less than 15000','Business owner',Infinix
Female,56+,Student,'Communication, Take photos, Social media','Instagram, TikTok','0-1 hours','Not important','Product features',1,'Limited warranty coverage',50001-100000,'Civil servant',Apple
Female,36-45,Single,'Play games, Take photos/videos, Cloud apps','Instagram, YouTube, Spotify, Telegram','1-3 hours','Somewhat important',Design,2,'Complex payment process','Less than 15000',Freelancer,Vivo
Male,36-45,Working,'Watch movies/listen to music, Play games, Cloud apps',Facebook,'0-1 hours','Not necessary',Battery,1,'Concerns about payment security','Less than 15000',Employee,Infinix
LGBTQ+,18-25,Student,'Watch movies, Listen to music, Take photos',Gmail,'>5 hours','Not important',Reliability,1,'Concerns about safety','Less than 15000',Employee,Infinix
Female,33-40,Single,'Watch movies/listen to music, Take photos/videos','YouTube, Facebook Messenger, Discord, Wise','5-6 hours',Essential,Price,2,'Payment issues',15001-20000,'Private company employee',Realme
LGBTQ+,36-45,Single,'Communication/meetings, Social media','Instagram, Spotify, TikTok','>5 hours','Somewhat important',Stability,4,'Limited warranty coverage','Less than 15000',Investor,Redmi
Male,36-45,Working,'Watch movies/listen to music, Play games, Cloud apps',Facebook,'0-1 hours','Not necessary',Battery,1,'Concerns about payment security','Less than 15000',Employee,Infinix
LGBTQ+,26-35,Student,'Watch movies/listen to music','Instagram, YouTube, Spotify, Telegram','0-1 hours',Essential,Ecosystem,4,'Concerns about safety','Less than 15000',Student,Vivo
LGBTQ+,26-32,Working,'Play games','Instagram, YouTube, Spotify, Telegram','1-3 hours','Not necessary',Battery,1,'Outdated system',20001-30000,Manager,Vivo
Male,36-45,Working,'Product photography, Edit reviews, Online marketplace','Instagram, Facebook, Facebook Messenger, TikTok, Telegram','>5 hours','Not necessary','Value for money',4,'Device overheats',15001-20000,'Factory worker',Xiaomi
Male,18-25,Single,'Watch movies/listen to music, Play games, Social media','Instagram, Facebook, YouTube, Facebook Messenger, TikTok','>5 hours','Highly essential','Product features',5,'Issues with delivery','Less than 15000',Student,Realme
Female,33-40,Married,'Watch movies, Listen to music, Take photos',Shopee,'5-6 hours','Not necessary','Value for money',1,'Concerns about payment security','Less than 15000',Manager,Redmi
Female,46-55,Working,'Play games, Take photos/videos','Instagram, Facebook, Facebook Messenger, TikTok','0-1 hours','Not important',Performance,2,'Concerns about warranty',50001-100000,'Private company employee',Samsung
Male,26-32,Working,'Communication, Take photos, Social media','Instagram, Facebook, TikTok','5-6 hours','Not important','Product features',5,'Outdated system','Less than 15000','Logistics staff',Redmi
LGBTQ+,56+,Single,'Watch movies/listen to music, Take photos/videos, Communication/meetings','Instagram, Facebook, YouTube, Spotify, TikTok','3-5 hours','Somewhat important','Value for money',3,'Limited warranty coverage','Less than 15000',Retired,Apple
Male,26-35,Student,'Online shopping, Social media, Finance','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line','3-5 hours','Somewhat important','Sensor quality',2,'Blurry camera',15001-20000,'Private company employee',Vivo
Male,46-55,Single,'Play games, Watch movies, Take photos','Instagram, Facebook Messenger, TikTok','3-5 hours',Essential,Features,2,'Complex payment process','Less than 15000','Factory worker',Vivo
Male,46-55,Student,'Take photos/videos, Watch movies/Listen to music, Online shopping','Facebook, YouTube','1-3 hours','Not important',Brand,5,'Complex payment process','Less than 15000',Freelancer,Infinix
Female,46-55,Single,'Watch movies, Take photos, Listen to music','Instagram, YouTube, Facebook Messenger, Spotify, TikTok','0-1 hours','Somewhat important',Reliability,4,'Limited warranty coverage','Less than 15000','Private company employee','Realme 7 5G'
Female,56+,Single,'Watch movies/listen to music, Communication/meetings, Social media',Shopee,'1-3 hours','Highly essential',Ecosystem,5,'Product is too expensive','Less than 15000','Delivery staff',Infinix
Male,56+,Married,'Play games, Watch movies, Take photos',Instagram,'0-1 hours','Somewhat important','Product reviews',4,'System crashes frequently','Less than 15000','Logistics staff',Oppo
Male,26-32,Single,'Social media, Take photos/videos, Watch movies/Listen to music',Discord,'5-6 hours','Highly essential',Design,2,'Concerns about warranty','Less than 15000','Factory worker',Oppo
Female,60+,Student,'Watch movies, Play games, Take photos',CapCut,'>5 hours','Not important','Product reviews',3,'Dead pixels on screen',20001-30000,'Private company employee',Huawei
Male,60+,Working,'Watch movies, Play games, Take photos','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok, Telegram','5-6 hours',Essential,'Product reviews',2,'Uncertainty about after-sales service','Less than 15000',Investor,Realme
Male,33-40,Married,'Play games, Watch movies, Take photos','Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','5-6 hours','Not important',Battery,3,'Insufficient storage','Less than 15000',Employee,Infinix
Male,26-35,Single,'Watch movies/listen to music, Take photos/videos, Social media','Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram','1-3 hours','Not necessary',Durability,5,'Concerns about safety',100001-150000,'Online seller',Oppo
Male,60+,Married,'Watch movies/listen to music, Play games, Social media',CapCut,'5-6 hours',Essential,Brand,1,'Uncertainty about warranty',15001-20000,'Factory worker',Xiaomi
Male,36-45,Married,'GPS navigation, Check car condition, Listen to podcasts',Facebook,'1-3 hours','Highly essential','Product features',1,'Uncertainty about after-sales service',20001-30000,'Business owner',Huawei
Male,46-55,Student,'Cloud apps, Communication/meetings, Social media','Instagram, Facebook, Facebook Messenger, TikTok','>5 hours','Not necessary',Simplicity,4,'Dead pixels on screen',50001-100000,'Business owner',Apple
LGBTQ+,56+,Working,'Play games, Take photos/videos','Instagram, Facebook, YouTube, TikTok','5-6 hours',Essential,Simplicity,3,'Product quality doesn\'t match ads','Less than 15000',Retired,Vivo
Female,46-55,Single,'Communication/meetings, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Telegram','1-3 hours',Essential,Price,2,'Issues with delivery','Less than 15000','Delivery staff',Infinix
LGBTQ+,56+,Married,'Watch movies/listen to music, Play games, Take photos/videos','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram','>5 hours','Highly essential','Value for money',5,'Dead pixels on screen','Less than 15000',Employee,Apple
Male,18-25,Student,'Watch movies, Take photos, Listen to music','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line','5-6 hours',Essential,Features,5,'Payment security concerns','Less than 15000','Office worker',Apple
LGBTQ+,18-25,Working,'Play esports, Stream games, Community chat','Instagram, Facebook, Facebook Messenger, TikTok, LINE','5-6 hours','Not important',Battery,5,'System crashes frequently','Less than 15000','Private company employee',Realme
Female,46-55,Single,'Communication/meetings, Social media','Instagram, Facebook, YouTube, Facebook Messenger, Telegram','1-3 hours',Essential,Price,2,'Issues with delivery','Less than 15000','Delivery staff',Infinix
LGBTQ+,33-40,Single,'Cloud apps, Communication/meetings, Social media','Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X','0-1 hours','Not necessary',Camera,5,'Dead pixels on screen','Less than 15000',Manager,Xiaomi
Female,46-55,Student,'Watch movies/listen to music, Take photos/videos','Facebook, Facebook Messenger, Line','1-3 hours','Not important',Durability,3,'Concerns about safety','Less than 15000','Content creator',Huawei
LGBTQ+,56+,Working,'Art photography, Video editing, Upload stories',Discord,'3-5 hours','Highly essential','Product features',3,'Concerns about payment security',20001-30000,'Logistics staff',Apple
